date,tensorflow,pytorch,keras
2016-09-04,27820,0,7144
2016-09-05,27875,0,7153
2016-09-06,27938,0,7170
2016-09-07,27999,0,7187
2016-09-08,28061,0,7214
2016-09-09,28116,0,7233
2016-09-10,28172,0,7242
2016-09-11,28220,0,7248
2016-09-12,28286,0,7259
2016-09-13,28346,0,7271
2016-09-14,28409,0,7285
2016-09-15,28481,0,7307
2016-09-16,28534,0,7315
2016-09-17,28580,0,7325
2016-09-18,28625,0,7340
2016-09-19,28709,0,7365
2016-09-20,28790,0,7391
2016-09-21,28851,0,7409
2016-09-22,28930,0,7419
2016-09-23,29033,5,7439
2016-09-24,29104,0,7462
2016-09-25,29182,0,7483
2016-09-26,29279,0,7506
2016-09-27,29343,0,7536
2016-09-28,29419,0,7555
2016-09-29,29480,0,7578
2016-09-30,29553,0,7593
2016-10-01,29599,0,7600
2016-10-02,29648,0,7611
2016-10-03,29709,0,7633
2016-10-04,29766,0,7649
2016-10-05,29823,0,7667
2016-10-06,29905,0,7682
2016-10-07,29986,0,7696
2016-10-08,30069,0,7707
2016-10-09,30165,0,7725
2016-10-10,30262,0,7747
2016-10-11,30344,0,7763
2016-10-12,30462,0,7784
2016-10-13,30563,0,7802
2016-10-14,30647,6,7886
2016-10-15,30707,0,7924
2016-10-16,30779,0,7953
2016-10-17,30876,0,7988
2016-10-18,30975,7,8013
2016-10-19,31063,8,8043
2016-10-20,31154,0,8072
2016-10-21,31215,0,8088
2016-10-22,31273,0,8102
2016-10-23,31328,0,8120
2016-10-24,31442,0,8144
2016-10-25,31591,0,8170
2016-10-26,31702,0,8191
2016-10-27,31796,0,8215
2016-10-28,31882,0,8241
2016-10-29,31927,0,8253
2016-10-30,31971,0,8267
2016-10-31,32029,0,8291
2016-11-01,32103,9,8314
2016-11-02,32189,10,8330
2016-11-03,32249,11,8352
2016-11-04,32323,0,8368
2016-11-05,32368,0,8388
2016-11-06,32431,0,8405
2016-11-07,32528,0,8420
2016-11-08,32612,0,8450
2016-11-09,32684,0,8463
2016-11-10,32790,0,8484
2016-11-11,32854,0,8501
2016-11-12,32893,0,8515
2016-11-13,32938,0,8525
2016-11-14,33027,0,8556
2016-11-15,33128,0,8574
2016-11-16,33220,0,8605
2016-11-17,33325,0,8627
2016-11-18,33398,12,8649
2016-11-19,33448,14,8662
2016-11-20,33501,0,8674
2016-11-21,33594,0,8694
2016-11-22,33693,0,8723
2016-11-23,33779,15,8742
2016-11-24,33856,0,8759
2016-11-25,33930,0,8777
2016-11-26,33996,0,8789
2016-11-27,34066,16,8811
2016-11-28,34153,0,8835
2016-11-29,34245,17,8857
2016-11-30,34368,0,8885
2016-12-01,34465,0,8920
2016-12-02,34559,0,8953
2016-12-03,34615,0,8965
2016-12-04,34684,0,8983
2016-12-05,34761,0,9002
2016-12-06,34862,0,9026
2016-12-07,34976,0,9043
2016-12-08,35215,0,9075
2016-12-09,35343,0,9101
2016-12-10,35424,0,9110
2016-12-11,35523,0,9131
2016-12-12,35673,0,9145
2016-12-13,35796,0,9164
2016-12-14,35901,0,9191
2016-12-15,35996,0,9212
